Donor,VWT,VWT
Canada,328798848.24805874,3.7715817938922225
China,544638391.3019187,6.2474313758524325
Denmark,16531927.883815525,0.18963423551136463
Finland,0.0,0.0
France,1104648.1846571614,0.012671184841760288
India,15158137.881466229,0.17387578200977954
Italy,36541312.7276377,0.4191576416487468
Japan,234464923.1364017,2.689497363264602
Netherlands,0.0,0.0
Norway,14297.884124189595,0.00016400799376672544
"Korea, Republic of",460677211.98734784,5.28433051043319
Spain,31090750.166636836,0.3566353955062292
United States of America,6778603575.583729,77.75592271660355
Australia,131203783.16841823,1.5050107460061963
Egypt,24416009.234474454,0.28007085912531604
Saudi Arabia,1226606.507327104,0.01407014287292883
Switzerland,0.0,0.0
Syrian Arab Republic,2258033.1467750473,0.02590141891238274
Belgium,75168.4360940791,0.000862241174378729
European Community,55091138.04880396,0.6319387503234627
Germany,518550.63438157673,0.005948184253885579
Luxembourg,3706029.401021024,0.04251107657766169
Libyan Arab Jamahiriya,1975192.317831472,0.022657011802391384
Austria,3943755.5961555997,0.04523798329974487
Hungary,56121.405518976295,0.0006437567297782138
Sri Lanka,20191.756892852005,0.00023161535719956112
Cuba,6169195.873032766,0.07076553632004029
Algeria,28223679.658139385,0.3237478382983151
Equatorial Guinea,0.0,0.0
Morocco,261319.41631685814,0.0029975395541155863
South Africa,104013.97711995948,0.0011931222524234541
United Arab Emirates,184315.4387167723,0.0021142432727531317
United Kingdom,,
Qatar,0.0,0.0
"Congo, Democratic Republic of the",323385.52652682154,0.0037094867295174947
Greece,46558.04402430235,0.0005340574400942356
Nigeria,10370027.320432905,0.11895238213974069
Malaysia,0.0,0.0
